generation,fitness_mean,fitness_min,fitness_max,fitness_std,fitness_p5,fitness_p10,fitness_p25,fitness_p75,fitness_p90,fitness_p95,unstable_states,n_nets,n_genes
63,0.6446591486101234,0.30119421191220214,0.8751733190429475,0.1725026117798046,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
64,0.6840893302268669,0.11844182901380365,0.8751733190429475,0.23248724456249126,0.3291338047371063,0.8751733190429475,0.539825780460409,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
65,0.6161139478503406,0.30119421191220214,0.8751733190429475,0.20100395235977614,0.30119421191220214,0.8751733190429475,0.30119421191220214,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
66,0.7145397274189034,0.5866462195100317,1.0,0.16032389581332354,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8876559871386527,0,10,5
67,0.5443391741829677,0.035673993347252395,1.0,0.23195166083619376,0.15515809170147976,0.8139907987795139,0.27464219005570717,0.5866462195100317,0.5866462195100317,0.6279815975590284,1,10,5
68,0.6722326820918392,0.035673993347252395,1.0,0.30054436844783133,0.15515809170147976,1.0,0.27464219005570717,0.5866462195100317,0.8751733190429475,1.0,1,10,5
69,0.7433924373721948,0.5866462195100317,1.0,0.16067331090256717,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8876559871386527,0,10,5
70,0.7026720777102153,0.30119421191220214,0.8751733190429475,0.22974616918713447,0.30119421191220214,0.8751733190429475,0.30119421191220214,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
71,0.5587160371372659,0.30119421191220214,0.8751733190429475,0.20078430451130605,0.30119421191220214,0.8751733190429475,0.30119421191220214,0.3725572138116595,0.5866462195100317,0.8751733190429475,0,10,5
72,0.6443516394166149,0.5866462195100317,0.8751733190429475,0.11541083981316631,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.8751733190429475,0,10,5
73,0.6568343075123201,0.5866462195100317,1.0,0.1431242669976186,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.8876559871386527,0,10,5
74,0.6568343075123202,0.5866462195100317,1.0,0.1431242669976186,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.8876559871386527,0,10,5
75,0.7558751054679,0.5866462195100317,1.0,0.17466602381685936,0.5866462195100317,1.0,0.5866462195100317,0.5866462195100317,0.8751733190429475,1.0,0,10,5
76,0.6761200558537204,0.035673993347252395,0.8751733190429475,0.2836344287517104,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
77,0.5295558179904658,0.30119421191220214,0.5866462195100317,0.11418080303913183,0.30119421191220214,0.5866462195100317,0.30119421191220214,0.5866462195100317,0.5866462195100317,0.5866462195100317,0,10,5
78,0.47445859537418783,0.035673993347252395,0.5866462195100317,0.1845739583997639,0.15515809170147976,0.5866462195100317,0.27464219005570717,0.3725572138116595,0.5866462195100317,0.5866462195100317,1,10,5
79,0.4301583711438358,0.035673993347252395,1.0,0.252380965643897,0.15515809170147976,0.8139907987795139,0.27464219005570717,0.30119421191220214,0.5866462195100317,0.6279815975590284,1,10,5
80,0.5997439059927543,0.30119421191220214,1.0,0.2038036894615727,0.30119421191220214,0.9438279935693262,0.30119421191220214,0.5866462195100317,0.5866462195100317,0.8876559871386527,0,10,5
81,0.5872612378970489,0.30119421191220214,0.8751733190429475,0.18150969371822906,0.30119421191220214,0.8751733190429475,0.30119421191220214,0.5866462195100317,0.5866462195100317,0.8751733190429475,0,10,5
82,0.4744585953741879,0.035673993347252395,0.5866462195100317,0.18457395839976393,0.15515809170147976,0.5866462195100317,0.27464219005570717,0.3725572138116595,0.5866462195100317,0.5866462195100317,1,10,5
83,0.5298633271839744,0.30119421191220214,0.8751733190429475,0.17188759829628344,0.30119421191220214,0.7453361242531351,0.30119421191220214,0.3725572138116595,0.5866462195100317,0.6154989294633232,0,10,5
84,0.5010106172306829,0.30119421191220214,0.5866462195100317,0.13081054320941635,0.30119421191220214,0.5866462195100317,0.30119421191220214,0.3725572138116595,0.5866462195100317,0.5866462195100317,0,10,5
85,0.5581010187502488,0.30119421191220214,0.5866462195100317,0.08563560227934887,0.4296476153312254,0.5866462195100317,0.5581010187502488,0.5866462195100317,0.5866462195100317,0.5866462195100317,0,10,5
86,0.5118955980876432,0.11844182901380365,0.8751733190429475,0.23964204921179008,0.20068040131808296,0.8751733190429475,0.2829189736223623,0.30119421191220214,0.5866462195100317,0.8751733190429475,0,10,5
87,0.6161139478503406,0.30119421191220214,0.8751733190429475,0.20100395235977614,0.30119421191220214,0.8751733190429475,0.30119421191220214,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
88,0.6184146359471371,0.035673993347252395,0.8751733190429475,0.26607376204253874,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.8751733190429475,0.8751733190429475,1,10,5
89,0.5895619259938456,0.035673993347252395,0.8751733190429475,0.25193489053643087,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.8030415441597185,0.8751733190429475,1,10,5
90,0.7020570593231981,0.5866462195100317,0.8751733190429475,0.14134883416417166,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
91,0.6181071267536284,0.035673993347252395,0.8751733190429475,0.23311288438254504,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.8030415441597185,0.8751733190429475,1,10,5
92,0.743392437372195,0.5866462195100317,1.0,0.16067331090256717,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8876559871386527,0,10,5
93,0.49185014885699496,0.035673993347252395,1.0,0.35209206220994044,0.035673993347252395,0.9438279935693262,0.035673993347252395,0.10205404798848983,0.8030415441597185,0.8876559871386527,3,10,5
94,0.5754925722330559,0.035673993347252395,1.0,0.3071243838748152,0.035673993347252395,0.9438279935693262,0.035673993347252395,0.5866462195100317,0.8030415441597185,0.8876559871386527,2,10,5
95,0.6844078409940358,0.035673993347252395,1.0,0.2835187786288372,0.2836114951205031,1.0,0.5315489968937538,0.5866462195100317,0.9687933297607368,1.0,1,10,5
96,0.7558751054679,0.5866462195100317,1.0,0.17466602381685936,0.5866462195100317,1.0,0.5866462195100317,0.5866462195100317,0.8751733190429475,1.0,0,10,5
97,0.5053044842307675,0.035673993347252395,0.8751733190429475,0.24984473102068727,0.035673993347252395,0.7453361242531351,0.035673993347252395,0.5866462195100317,0.5866462195100317,0.6154989294633232,2,10,5
98,0.5686784904137004,0.11844182901380365,0.8751733190429475,0.17298405867478947,0.3291338047371063,0.7453361242531351,0.539825780460409,0.5866462195100317,0.5866462195100317,0.6154989294633232,0,10,5
99,0.6446591486101234,0.30119421191220214,0.8751733190429475,0.1725026117798046,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
100,0.6732043493699065,0.5866462195100317,0.8751733190429475,0.13221972736556445,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
